StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
DCPMU_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,DCPMU (mg/kg)
Diuron_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Diuron (mg/kg)
Dichlobenil_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Dichlobenil (mg/kg)
Chlorpyrifos_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Chlorpyrifos (mg/kg)
D_2_4_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"2,4-D (mg/kg)"
Triclopyr_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Triclopyr (mg/kg)
PBDE_047_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-047 (pg/g)
PBDE_049_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-049 (pg/g)
PBDE_085_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-085 (pg/g)
PBDE_099_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-099 (pg/g)
PBDE_100_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-100 (pg/g)
PBDE_153_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-153 (pg/g)
PBDE_203_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-203 (pg/g)
PBDE_209_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-209 (pg/g)
PBDE_007_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-007 (pg/g)
PBDE_010_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-010 (pg/g)
PBDE_012_013_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-012/013 (pg/g)
PBDE_030_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-030 (pg/g)
PBDE_105_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-105 (pg/g)
PBDE_116_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-116 (pg/g)
PBDE_126_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-126 (pg/g)
PBDE_128_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-128 (pg/g)
PBDE_138_166_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-138/166 (pg/g)
PBDE_181_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-181 (pg/g)
PBDE_184_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-184 (pg/g)
PBDE_190_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-190 (pg/g)
