StressSampleID,StationID,StressSampleDate,StdParamName,ResultValue
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Benzo_k_fluoranthene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Carbazole_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Chloride_mg_l,1.62
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Chrysene_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Conductivity_uS_cm,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Copper_mg_kg,30.9
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,DgmLog10,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Dibenzo_a_h_anthracene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Dibenzofuran_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,DO_mg_l,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,DO_Saturation_PCT,102.2
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Fines_PCT,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Fluoranthene_ug_kg,35
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Fluorene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Indeno_1_2_3_cd_pyrene_ug_kg,17
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Lead_mg_kg,5.92
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,LRBS,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,LWDSiteVolume_m3,
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Methylnaphthalene_1_ug_kg,1.4
ERR06600_005995_DCE_2013_0802_11_41,ERR06600_005995,8/2/2013,Methylnaphthalene_2_ug_kg,1.8
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Solids_PCT,31.1
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Zinc_mg_kg,47
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Copper_mg_kg,11.4
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Arsenic_mg_kg,1.78
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Lead_mg_kg,8.34
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,TOC_PCT,1.4
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Carbazole_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Benzo_b_fluoranthene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Chrysene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Benz_a_anthracene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Benzo_k_fluoranthene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Acenaphthene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Indeno_1_2_3_cd_pyrene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Fluorene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Phenanthrene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Retene_ug_kg,39
WAM06600_000586_DCE_2010_0802_13_30,WAM06600_000586,8/2/2010,Dibenzo_a_h_anthracene_ug_kg,39
